date,mosquito,temp,l_temp,h_temp,rain_per_day,cum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
2015-08-01,11746,26.6,24.3,33,7.5,2,2.1,22.4,79.1,27.2,5,11.69,27.2
2015-08-02,7186,26.7,23.3,31,,0,2.1,21.4,74.4,25.5,9.6,16.75,28.4
2015-08-03,8809,27,23.9,32,,0,2.3,21.2,72.1,25.3,8.6,18.83,28.7
2015-08-04,6972,26.8,24.5,30.6,,0,2.1,21.4,73.6,25.6,2.2,11.2,27.8
2015-08-05,4902,27.3,22.1,32.9,,0,2,20,67.5,23.5,10.6,19.87,31
2015-08-06,4832,26.5,23.9,31.1,,0,1.9,20.1,68.6,23.6,8.5,14.56,29.5
2015-08-07,5335,26.9,22.7,32.5,,0,2.4,19.5,66.4,22.8,11.2,18.54,30.9
2015-08-08,5799,27.1,23.1,30.8,0.1,1,1.9,21,70.4,24.8,6.5,13.04,29.5
2015-08-09,4441,25.8,20.7,31.2,29,2,2,20.6,74.9,24.4,1.7,9.39,29.3
2015-08-10,5086,26.6,19.8,32.9,,0,2.2,17.9,61.5,20.5,11.3,20.18,28.6
2015-08-11,5275,27.9,24.1,32.2,,0,2.5,19.1,59.9,22.2,8.7,16.34,27.5
2015-08-12,6053,26.8,24.2,29.7,,0,1.8,20.8,70.3,24.6,0.2,9.03,26.9
2015-08-13,7524,25.4,24.2,28.1,0.4,1,1.7,20.6,75.5,24.3,0.8,6.42,26.4
2015-08-14,8846,25.2,23,29.3,2.5,2,2,20.9,78.3,24.7,4.3,10.35,25.8
2015-08-15,8844,25.5,23.4,29.6,,0,2.5,19.3,69.8,22.4,6.9,14.11,26.9
2015-08-16,7406,26.3,20.9,31.7,,0,1.7,18.9,65.5,21.8,9.7,17.77,28.2
2015-08-17,6111,26.3,23.3,30.3,,0,3.8,18,60.6,20.6,5.3,12.71,27.6
2015-08-18,6120,21.7,19.2,24.5,5.5,1,3.2,17.1,76.4,19.5,0,4.19,22.7
2015-08-19,5487,21.9,18.9,25.3,,0,2.9,15.7,68.4,17.9,3.6,11.44,22.3
2015-08-20,4602,24.7,21.2,30,,0,3.1,15.8,61.1,18.2,12.2,21.75,27.3
2015-08-21,4799,23.2,19,28.1,0.3,1,1.7,17.1,69.4,19.5,6.8,12.64,24.7
2015-08-22,5413,24.4,19,30.8,,0,1.7,16.8,65.8,19.3,10.7,17.29,28.4
2015-08-23,7639,24.9,19.9,31,,0,1.6,17.3,65.9,19.9,10.6,18.09,29.4
2015-08-24,7337,25.9,21,31.2,,0,1.9,17.8,62.9,20.4,8.8,16.15,28.8
2015-08-25,4678,25.9,22.6,30.7,,0,3.4,17.1,59.4,19.4,8.3,16.85,28.3
2015-08-26,9949,23.9,22,27.7,0.5,1,2.1,18.6,72.8,21.4,3.3,8.66,26.1
2015-08-27,9093,23.9,19.8,28.2,18,2,2.3,18.7,75.1,21.7,10.2,16.1,25.7
2015-08-28,8316,24.8,20.6,30.7,,0,2.2,18,68.5,20.7,8.4,15.13,25
2015-08-29,6635,21.9,19.4,23.6,5,1,2.1,18.2,79.8,20.9,0,5.13,23.5
2015-08-30,7532,22.2,19.3,26.2,,0,3.7,13.9,60.4,15.9,6.5,14.4,22.8
2015-08-31,7674,22.6,16.8,28.7,,0,2.4,12.1,52.9,14.1,12.2,20.4,23.5
2015-09-01,5831,22.7,16.2,28.9,,0,3.2,8.4,43.6,11.2,12.3,21.41,25.2
2015-09-02,4541,22.4,15.3,30.1,,0,2.9,8.6,42.9,11.3,12,20.51,25.8
2015-09-03,4794,22.4,17,28.4,,0,2.4,14.4,62.3,16.6,11.9,19.7,26.8
2015-09-04,5408,21,16.8,24.4,2.5,1,2.1,16.4,76.4,18.8,1.8,7.39,23.4
2015-09-05,7523,19.2,15.5,24,,0,1.9,10.8,60.4,13,5.8,11.82,22.4
2015-09-06,4481,20.2,15.2,26,,0,2.6,9.8,54.1,12.2,11.9,20.08,23.9
2015-09-07,4242,22.1,16.4,27.8,,0,1.6,13.7,61.1,15.7,10,14.36,24.3
2015-09-08,4475,22.8,17.4,28.7,,0,2.2,10.4,48.5,12.7,11.2,19.02,26.4
2015-09-09,3880,21.6,16,26.7,,0,2.5,8.9,45.5,11.4,11.7,19.62,25.5
2015-09-10,3629,21.4,15.5,27.6,,0,3.1,8.8,46.4,11.4,11.4,19.7,26.1
2015-09-11,3675,21.9,15.9,29.2,,0,2.4,11.2,52.1,13.4,10,18.02,26.3
2015-09-12,4924,22.3,17,29,,0,2.4,13,58.3,15.1,11.5,17.45,26.4
2015-09-13,4670,22.1,17.9,28.3,,0,2,15.6,69,17.7,7.7,13.58,24.7
2015-09-14,0,22.6,16.5,29.4,,0,1.5,13.9,62.1,16,10,14.14,25.8
2015-09-15,0,23.9,18,31,,0,1.8,11.4,48.4,13.6,11.2,17.12,26.7
2015-09-16,3822,22,19,26.1,,0,1.7,13,57.9,15,2.1,7.24,22.7
2015-09-17,2987,23.4,17.5,30.6,,0,1.9,13.2,56.4,15.2,10.3,16.16,26.5
2015-09-18,3089,23.4,19,29.8,,0,2.5,13.7,56.5,15.8,9.5,14.77,26.9
2015-09-19,3493,22.4,17.9,28,,0,1.8,11.8,54.5,14.2,11,14.47,25.4
2015-09-20,3452,21.9,14.2,29.8,,0,1.9,6.7,39.4,9.8,11.2,17.46,24.6
2015-09-21,3704,21.4,15.5,28.3,,0,1.6,6.1,39.6,9.5,5.6,11.23,22.2
2015-09-22,3825,22.1,15.9,28.2,,0,2.3,6.1,36.6,9.4,9.4,17.07,25.2
2015-09-23,4074,21.3,19.4,26.2,,0,2.6,8.7,45.3,11.3,3.7,9.74,24.9
2015-09-24,3084,16.3,10.7,19.7,35,1,3.6,12,77.5,14.7,0,1.74,17.8
2015-09-25,3192,16.5,8.6,21.5,,0,3.7,6.6,53.5,10,10.5,14.08,16.4
2015-09-26,3533,19.2,13.3,24.5,,0,3.8,7.1,49.4,11.1,10.2,15.91,19.7
2015-09-27,3155,16.6,11.2,22.4,,0,1.8,1.9,38.9,7.2,8.9,12.36,17.1
2015-09-28,3593,18,11,25.6,,0,1.9,6.3,49.4,9.6,11,16.27,17.9
2015-09-29,3842,18.7,12.1,26.3,,0,1.9,9.1,57.5,11.7,10.5,15.06,18.5
2015-09-30,4161,19.6,14.1,25.7,,0,1.4,12.9,67.5,14.9,6.9,11.87,19.1
2015-10-01,3169,20.1,15.7,26.4,,0,2.3,11.5,61.1,13.7,9.8,14.45,21.2
2015-10-02,980,16.2,12.8,20.5,,0,3.7,2.8,43.8,7.8,10.8,16.51,19.1
2015-10-03,5026,12.8,10.4,17.2,3.5,1,2.2,7.4,70.9,10.5,2.2,4.71,15.6
2015-10-04,2571,10.8,8.1,14.4,3.5,2,2.4,5.8,72.6,9.4,1.5,5.97,12.6
2015-10-05,2453,12.3,8.2,17.9,,0,2.7,3.2,56.5,7.7,10.6,15.18,14
2015-10-06,1902,15,7.8,21.3,,0,2.5,8.4,66.4,11.3,10.1,13.78,14.7
2015-10-07,2386,17.1,10.9,24.5,,0,1.6,9.1,64.6,11.7,9.2,14.07,17
2015-10-08,1959,17.9,12.1,26.1,,0,1.8,9.6,62.1,12.1,9.8,13.21,17.3
2015-10-09,1935,17.5,13.2,24.2,,0,1.8,11.9,71,14,7.6,9.97,18.1
2015-10-10,1466,18.7,12.4,26.6,,0,1.7,11.2,64.8,13.3,10.2,13.82,18.1
2015-10-11,560,17.9,12.4,24.2,,0,1.3,10.7,65.1,12.9,9,11.68,17.6
2015-10-12,394,18.1,13.6,23.9,,0,2,11.3,67.4,13.5,7.6,10.67,18.1
2015-10-13,898,18.8,15.4,25.1,,0,1.6,12.5,69.5,14.6,6.9,10.77,19.3
2015-10-14,1524,17.9,13.9,22.7,,0,1.6,12.5,72.5,14.5,6.7,9.93,18.6
2015-10-15,1599,17.5,14.5,23.1,,0,2.2,10.5,64.8,12.7,4.6,9.2,18.2
2015-10-16,1745,17.5,15.2,21.4,,0,2.4,11.5,69.1,13.6,4.1,7.24,18.6
2015-10-17,1821,16.9,13.2,22,10.5,1,2.5,9.3,64.4,12.2,6.9,10.46,17.8
2015-10-18,2028,16.3,12.1,22.8,,0,2.1,5.7,51,9.1,8.6,12.95,15.9
2015-10-19,2131,15,12,18.7,2,1,2.4,8.5,66.8,11.3,2.4,7.11,15.2
2015-10-20,2489,12.1,7.7,15.9,26.5,2,3.2,6,69.3,9.9,7,9.17,14.4
2015-10-21,2338,9.9,5.6,15.8,,0,2.5,-0.7,49,5.9,9.7,13.01,11.4
2015-10-22,2604,8.4,3.2,14.7,0.5,1,2.4,-1.8,50.4,5.5,7,10.86,9.8
2015-10-23,2422,5.4,1.7,10.4,,0,2.6,-7,41.8,3.7,9.7,13.64,8.2
2015-10-24,4177,5.7,1.1,12.3,,0,2.1,-6.6,42.5,3.8,9.7,13.52,7.5
2015-10-25,2153,7,1.3,12.6,,0,1.6,-3.6,48.4,4.7,4.7,8.35,8.1
2015-10-26,1785,10.8,6.1,15.2,,0,1.6,3.1,60.5,7.8,6.6,8.68,10.4
2015-10-27,1212,11.8,6.6,18.7,,0,1.4,5.3,67.6,8.9,9,10.84,10.9
2015-10-28,252,12.2,5.8,19.8,,0,1.6,4.4,62,8.3,9.1,11.07,11.1
2015-10-29,326,13.2,8.6,19.2,,0,1.7,6.1,63.9,9.5,8.1,9.56,12.2
2015-10-30,151,13.5,9.6,19.2,4.5,1,4.7,6.4,63.9,9.7,5.6,8.42,12.4
2015-10-31,27,10.5,9.3,11.7,24.5,2,6,9.1,91.5,11.6,0,2,11.2
2016-04-18,185,17.2,10.2,25.3,,0,1.7,0.3,34.8,6.3,11.9,21.21,21.3
2016-04-19,258,21.1,12.1,29.6,,0,2,4.2,34.8,8.3,9.9,19.74,21.8
2016-04-20,921,17.2,14.5,20.7,,0,3.6,0.1,32,6.2,0,8.39,17.8
2016-04-21,1047,17.2,12.4,23,,0,2,1.1,34.4,6.7,9.4,18.95,22.3
2016-04-22,1292,16.2,10.9,22.6,0.3,1,2.5,4.7,47.6,8.6,11.6,21.79,21.9
2016-04-23,740,15.9,10.8,20.4,,0,2.8,3.8,45.3,8.1,1.5,8.93,17
2016-04-24,1161,18.8,12.2,26,,0,2.2,4,40.5,8.4,6.8,17.07,20.2
2016-04-25,1324,21.1,16.5,28.4,16.5,1,2.2,13.3,64.5,15.4,7.5,15.89,24.4
2016-04-26,1633,12.9,8.9,17.6,27,2,4.9,10.5,86.1,13.2,0,1.63,14.8
2016-04-27,1843,15.7,10.2,20.6,,0,5.1,3.8,46.6,8,12.8,24.88,16.6
2016-04-28,1529,18.9,10.2,26.9,7.5,1,1.7,6.6,50.8,10.1,10.9,21.6,20
2016-04-29,0,16.3,13,18.6,9.5,2,2,14.4,89.3,16.5,0,1.91,16.8
2016-04-30,0,16.5,10.7,22.6,,0,2.6,7.6,60.3,10.5,12.4,23.93,19.3
2016-05-01,0,19.4,11.6,26.8,,0,2.1,5.5,44.8,9.2,11.5,23.51,20.8
2016-05-02,0,20.2,16.3,25.4,,0,2,6.5,43,9.8,5.4,17.4,23.1
2016-05-03,2123,14.5,12.5,18.1,13.5,1,2.3,11.4,82.4,13.5,0.1,4.6,16.9
2016-05-04,200,16.4,10.4,23.5,,0,2,8.2,60.9,10.9,12.9,24.41,21.2
2016-05-05,1965,17.8,12.1,24,,0,2.7,9.9,62.4,12.2,12.5,23.94,22.2
2016-05-06,2687,18.6,12.7,25.4,0.5,1,2.1,8.7,57,11.3,11.6,24.86,24
2016-05-07,1228,20.2,15.1,26.9,,0,2.3,7.6,47.1,10.5,11.1,23.78,24.7
2016-05-08,2381,17.4,12.3,24.2,45,1,2.7,12,73.9,14.3,4.5,12.53,20.1
2016-05-09,2709,15.9,10.8,21.9,2.5,2,3.2,6.1,57,9.5,12.3,24.54,20.6
2016-05-10,2182,19.3,10.9,26.6,,0,1.9,7.1,48.8,10.1,13.1,24.69,23.6
2016-05-11,1883,22.3,13.5,29.5,,0,1.9,6.5,40.3,9.8,13.2,25.77,26.9
2016-05-12,2376,24.3,16.3,31.9,,0,1.6,6.8,36.4,10,13.4,24.95,29.6
2016-05-13,1942,24,16.8,31.6,,0,1.8,5,32,9.1,12.8,23.48,28.4
2016-05-14,2838,24.1,17.8,30.4,,0,2,1.5,23.8,6.9,12.4,24.05,29.3
2016-05-15,3341,24.7,17.6,31.7,,0,1.9,7.5,35,10.4,11.8,24.63,30.8
2016-05-16,3673,23.3,18.3,29.4,,0,2.1,9.4,43,11.8,7.7,17.7,28.1
2016-05-17,3103,16.8,15.4,21.8,38.5,1,2.6,13.7,82.6,15.7,2.3,7.08,18.5
2016-05-18,7318,19.7,15.3,24.4,,0,2.7,13.3,67.9,15.3,5.1,15.6,21.1
2016-05-19,3896,19.4,17.5,22.9,,0,1.8,14.1,72,16.1,1.5,8.3,19.4
2016-05-20,4433,20.9,14.8,27.1,,0,1.7,12,61.3,14.2,8.3,20.68,23.2
2016-05-21,5112,21.7,17.2,28,,0,2.1,12,56.1,14.1,13.1,23.9,28.3
2016-05-22,9818,21.5,17.2,27.6,,0,2.3,12,56.1,14.1,8.7,20.67,27.6
2016-05-23,6076,22.1,16.9,28.9,,0,2.4,12.4,57.3,14.4,12.8,24.57,30.1
2016-05-24,5532,21.6,17.4,27.6,,0,2.5,13.8,63.6,15.8,11.6,21.99,27.9
2016-05-25,6788,23.3,17.1,29.9,,0,2.1,9.4,45.8,12,13.1,24.45,29.6
2016-05-26,5275,23.2,17.2,29.1,,0,2.4,7.7,38.3,10.5,13.5,25.38,31.7
