loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,accum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
112,인천,2015-03-27,6.385714286,2.571428571,11.47142857,0,0,3.3,-0.385714286,66.65714286,6.342857143,10.98571429,17.13857143,9.157142857
112,인천,2015-03-28,6.2,2.114285714,11.31428571,0,0,3.242857143,-0.785714286,66.32857143,6.171428571,11.12857143,17.45428571,9.157142857
112,인천,2015-03-29,6.457142857,2.671428571,11.35714286,0,0,2.942857143,0.514285714,70.92857143,6.814285714,10.44285714,16.52428571,9.5
112,인천,2015-03-30,7.271428571,3.085714286,12.54285714,0,0,2.428571429,2.657142857,77.15714286,7.8,10.15714286,16.34,10.4
112,인천,2015-03-31,8.371428571,4.328571429,13.27142857,3.3,3.3,2.242857143,5.171428571,83.65714286,9.185714286,8.485714286,14.20428571,10.92857143
112,인천,2015-04-01,9.442857143,5.614285714,14.07142857,1.8,5.1,2.528571429,6.242857143,83.75714286,9.828571429,7.585714286,13.56142857,11.82857143
112,인천,2015-04-02,10.57142857,6.728571429,15.3,9.4,11.2,3.128571429,7.285714286,83.21428571,10.6,6.4,12.18142857,12.6
112,인천,2015-04-03,10.9,7.114285714,15.42857143,0.2,9.6,3.2,7.771428571,84.14285714,10.94285714,5.414285714,11.11571429,12.92857143
112,인천,2015-04-04,11.62857143,8.014285714,16.05714286,0.1,0.3,3.428571429,8.828571429,85.21428571,11.52857143,4.585714286,10.23428571,13.1
112,인천,2015-04-05,11.95714286,8.428571429,15.98571429,0.6,0.7,3.471428571,9.014285714,84.47142857,11.67142857,3.8,9.088571429,13.01428571
112,인천,2015-04-06,11.78571429,8.771428571,15.4,0,0,3.885714286,8.642857143,83.12857143,11.42857143,2.557142857,8.001428571,12.42857143
112,인천,2015-04-07,11.11428571,8.214285714,14.84285714,0,0,4.2,7.328571429,79.45714286,10.5,3.071428571,9.155714286,12.25714286
112,인천,2015-04-08,10.3,7.271428571,14.24285714,0,0,4.042857143,6.428571429,78.62857143,9.942857143,3.828571429,9.772857143,11.64285714
112,인천,2015-04-09,9.428571429,6.428571429,13.21428571,0,0,3.4,5.071428571,76.18571429,9.014285714,4.942857143,11.12857143,11.14285714
112,인천,2015-04-10,9.7,6.414285714,13.87142857,0,0,3.4,4.242857143,70.97142857,8.5,5.957142857,12.47428571,11.27142857
112,인천,2015-04-11,9.514285714,6.114285714,13.84285714,0,0,3.185714286,3.985714286,70.65714286,8.314285714,7,13.72857143,11.64285714
112,인천,2015-04-12,10.1,5.957142857,14.88571429,0,0,3.314285714,2.957142857,64.55714286,7.685714286,7.414285714,15.08285714,12.05714286
112,인천,2015-04-13,10.5,6.114285714,15.37142857,5.9,5.9,3.514285714,2.957142857,62.98571429,7.685714286,8.028571429,15.39857143,12.57142857
112,인천,2015-04-14,10.47142857,6.3,15.07142857,10.4,16.3,3.3,3.614285714,66.97142857,8.085714286,7.514285714,14.53714286,12.44285714
112,인천,2015-04-15,10.85714286,6.785714286,15.3,0.3,10.7,3.228571429,4.585714286,70.22857143,8.7,7.3,14.42857143,12.77142857
112,인천,2015-04-16,11.07142857,7.228571429,15.31428571,1.4,1.7,3.714285714,5.328571429,72.77142857,9.142857143,6.185714286,12.72714286,12.52857143
112,인천,2015-04-17,10.95714286,7.357142857,14.77142857,0,0,3.8,5.642857143,74.37142857,9.314285714,6.242857143,12.93285714,12.42857143
112,인천,2015-04-18,11.38571429,7.4,15.17142857,0,0,3.814285714,5.014285714,70.88571429,9,5.871428571,12.60714286,12.45714286
112,인천,2015-04-19,11.25714286,7.685714286,14.85714286,17.1,17.1,3.928571429,6.585714286,77.51428571,10.1,5.457142857,11.41428571,12.4
112,인천,2015-04-20,11.25714286,8,14.82857143,5,22.1,3.671428571,7.3,80.85714286,10.58571429,5.428571429,11.30857143,12.52857143
112,인천,2015-04-21,11.92857143,8.142857143,16.07142857,0,0,3.657142857,7.1,76.5,10.45714286,7.185714286,13.83571429,13.47142857
112,인천,2015-04-22,12.24285714,8.6,16.44285714,0,0,3.714285714,6.9,73.64285714,10.31428571,7.285714286,14.00142857,13.61428571
112,인천,2015-04-23,12.6,8.714285714,16.9,0,0,3.357142857,6.9,72.14285714,10.3,8.214285714,16.04142857,14.5
112,인천,2015-04-24,13.18571429,9.1,17.87142857,0,0,3.271428571,7.242857143,71.34285714,10.55714286,8.185714286,16.08714286,15.35714286
112,인천,2015-04-25,13,9.428571429,17.54285714,0,0,3.314285714,7.442857143,72.32857143,10.64285714,8.7,16.84285714,15.6
112,인천,2015-04-26,13.22857143,9.6,17.95714286,0,0,3.228571429,6.314285714,66.58571429,9.857142857,10.31428571,19.17142857,15.71428571
112,인천,2015-04-27,13.87142857,10.05714286,18.55714286,0,0,3.014285714,6.285714286,63.38571429,9.842857143,11.31428571,20.66857143,16.05714286
112,인천,2015-04-28,14.82857143,10.92857143,19.52857143,0,0,2.971428571,6.942857143,62.24285714,10.38571429,10.62857143,19.69571429,16.5
