mosquito,temp,rain_per_day,cum_rain,wind,humidity,steam_pressure,sunshine_time,sunshine
0,0.780918728,0,0,0.298245614,0.650273224,0.789830508,0.124087591,0.344873063
0.21757876,0.763250883,0.076124567,0.090909091,0.157894737,0.789617486,0.877966102,0.02189781,0.247609627
0.205211603,0.787985866,0.006920415,0.181818182,0.192982456,0.725409836,0.86779661,0.160583942,0.283877349
0.166030029,0.759717314,0.110726644,0.272727273,0.245614035,0.781420765,0.86440678,0.167883212,0.281239697
0.24617072,0.681978799,0.183391003,0.363636364,0.228070175,0.99863388,0.918644068,0,0.124299374
0.201959079,0.692579505,0.553633218,0.454545455,0.438596491,0.974043716,0.918644068,0,0.062973953
0.191558564,0.727915194,0.280276817,0.545454545,0.333333333,0.842896175,0.86440678,0.313868613,0.464556545
0.149275746,0.734982332,0.010380623,0.636363636,0.280701754,0.849726776,0.884745763,0.262773723,0.310253874
0.191142544,0.787985866,0,0,0.350877193,0.691256831,0.823728814,0.525547445,0.525222552
0.174539541,0.752650177,0.027681661,0.090909091,0.333333333,0.807377049,0.881355932,0.01459854,0.180349489
0.196777732,0.819787986,0,0,0.49122807,0.718579235,0.901694915,0.576642336,0.497856907
0.211716652,0.795053004,0,0,0.350877193,0.68989071,0.844067797,0.489051095,0.491592483
0.444234333,0.80565371,0,0,0.421052632,0.669398907,0.837288136,0.386861314,0.376195186
0.271774895,0.745583039,0.114186851,0.090909091,0.350877193,0.826502732,0.884745763,0.102189781,0.252884932
0.33315684,0.795053004,0,0,0.543859649,0.651639344,0.803389831,0.437956204,0.419386746
0.263681404,0.780918728,0,0,0.666666667,0.676229508,0.810169492,0.270072993,0.321463897
0.185393896,0.819787986,0.000692042,0.090909091,0.526315789,0.590163934,0.772881356,0.547445255,0.51961754
0.182746492,0.844522968,0,0,0.228070175,0.556010929,0.779661017,0.861313869,0.70755028
0.201769978,0.830388693,0.076124567,0.090909091,0.122807018,0.648907104,0.847457627,0.547445255,0.497527201
0.219318483,0.749116608,0.051903114,0.181818182,0.245614035,0.755464481,0.827118644,0.364963504,0.384767557
0.167958852,0.752650177,0,0,0.245614035,0.691256831,0.769491525,0.700729927,0.551599077
0.192352785,0.763250883,0,0,0.280701754,0.659836066,0.762711864,0.627737226,0.620178042
0.199500775,0.756183746,0,0,0.245614035,0.680327869,0.772881356,0.160583942,0.368611935
0.228924776,0.77385159,0,0,0.228070175,0.596994536,0.701694915,0.773722628,0.654467524
0.284558073,0.745583039,0,0,0.210526316,0.612021858,0.705084746,0.620437956,0.47939334
0.334556182,0.759717314,0,0,0.298245614,0.581967213,0.677966102,0.817518248,0.610616551
0.334480542,0.766784452,0.000692042,0.090909091,0.210526316,0.636612022,0.745762712,0.474452555,0.429277943
0.280095307,0.720848057,0.200692042,0.181818182,0.228070175,0.698087432,0.73220339,0.124087591,0.308935048
0.231118339,0.749116608,0,0,0.263157895,0.515027322,0.6,0.824817518,0.664688427
0.231458719,0.795053004,0,0,0.315789474,0.493169399,0.657627119,0.635036496,0.538081108
0.207518626,0.756183746,0,0,0.192982456,0.635245902,0.738983051,0.01459854,0.297065612
0.17404788,0.706713781,0.002768166,0.090909091,0.175438596,0.706284153,0.728813559,0.058394161,0.211012199
0.18149843,0.699646643,0.017301038,0.181818182,0.228070175,0.744535519,0.742372881,0.313868613,0.340586878
0.204719943,0.71024735,0,0,0.315789474,0.628415301,0.66440678,0.503649635,0.464556545
0.288907379,0.738515901,0,0,0.175438596,0.569672131,0.644067797,0.708029197,0.585229146
0.277485723,0.738515901,0,0,0.543859649,0.50273224,0.603389831,0.386861314,0.418397626
0.176922204,0.575971731,0.038062284,0.090909091,0.438596491,0.718579235,0.566101695,0,0.137487636
0.376271699,0.583038869,0,0,0.385964912,0.609289617,0.511864407,0.262773723,0.376524893
0.343897735,0.681978799,0,0,0.421052632,0.509562842,0.522033898,0.890510949,0.716452357
0.314511554,0.628975265,0.002076125,0.090909091,0.175438596,0.62295082,0.566101695,0.496350365,0.41608968
0.250936046,0.671378092,0,0,0.175438596,0.573770492,0.559322034,0.781021898,0.569403231
0.284860633,0.689045936,0,0,0.157894737,0.575136612,0.579661017,0.773722628,0.595779756
0.290231081,0.724381625,0,0,0.210526316,0.534153005,0.596610169,0.642335766,0.531816683
0.220528724,0.724381625,0,0,0.473684211,0.486338798,0.562711864,0.605839416,0.554896142
0.171740857,0.653710247,0.003460208,0.090909091,0.245614035,0.669398907,0.630508475,0.240875912,0.284866469
0.18130933,0.653710247,0.124567474,0.181818182,0.280701754,0.700819672,0.640677966,0.744525547,0.53016815
0.204530842,0.685512367,0,0,0.263157895,0.610655738,0.606779661,0.613138686,0.498186614
0.284520253,0.583038869,0.034602076,0.090909091,0.245614035,0.765027322,0.613559322,0,0.168480053
0.169471654,0.593639576,0,0,0.526315789,0.5,0.444067797,0.474452555,0.474118035
0.160432661,0.607773852,0,0,0.298245614,0.397540984,0.383050847,0.890510949,0.671941972
0.169244734,0.61130742,0,0,0.438596491,0.270491803,0.284745763,0.897810219,0.705242334
0.146741803,0.600706714,0,0,0.385964912,0.260928962,0.288135593,0.875912409,0.675568744
0.137248969,0.600706714,0,0,0.298245614,0.525956284,0.46779661,0.868613139,0.648862512
0.138988692,0.551236749,0.017301038,0.090909091,0.245614035,0.718579235,0.542372881,0.131386861,0.242993736
0.186225937,0.487632509,0,0,0.210526316,0.5,0.345762712,0.423357664,0.389053742
0.176619644,0.522968198,0,0,0.333333333,0.413934426,0.318644068,0.868613139,0.661391362
