"tpbuz_cd","tpbuz_nm","load_dtm","cent_cd"
"8210",단란주점(스텍칵테일),"20191211202632",BBP10
"8211",단란주점(룸싸롱),"20191211202632",BBP10
"8212",단란주점(나이트클럽),"20191211202632",BBP10
"8213",단란주점(맥주홀),"20191211202632",BBP10
"8301",제 과 점,"20191211202632",BBP10
"8302",정 육 점,"20191211202632",BBP10
"8303",주류판매점,"20191211202632",BBP10
"8305",제과점(음식점경영),"20191211202632",BBP10
"8310",농축수산품,"20191211202632",BBP10
"8320",미곡상,"20191211202632",BBP10
"8399",기타음료식품,"20191211202632",BBP10
"8401",홍삼 제품,"20191211202632",BBP10
"8402",인삼 제품,"20191211202632",BBP10
"8499",기타건강식,"20191211202632",BBP10
"8501",일반한식(할부),"20191211202632",BBP10
"8502",갈비전문점(할부),"20191211202632",BBP10
"8503",한정식(할부),"20191211202632",BBP10
"8504",일식회집(할부),"20191211202632",BBP10
"8505",중국음식(할부),"20191211202632",BBP10
"8506",일반양식스테이크(할부),"20191211202632",BBP10
"8510",스넥칵테일(할부),"20191211202632",BBP10
"8511",룸싸롱(할부),"20191211202632",BBP10
"8512",나이트클럽(할부),"20191211202632",BBP10
"8513",맥주홀(할부),"20191211202632",BBP10
"9001",보일러펌프,"20191211202632",BBP10
"9002",건축요업품,"20191211202632",BBP10
"9003",조명 기구,"20191211202632",BBP10
"9004",페 인 트,"20191211202632",BBP10
"9005",유리,"20191211202632",BBP10
"9006",목재/석재/철물,"20191211202632",BBP10
"9010",인테 리어,"20191211202632",BBP10
"9020",부동산분양,"20191211202632",BBP10
"9099",기타건축자재,"20191211202632",BBP10
"9101",종합용역,"20191211202632",BBP10
"9110",가례서비스,"20191211202632",BBP10
"9111",혼례서비스,"20191211202632",BBP10
"9120",보관창고업,"20191211202632",BBP10
"9121",화물 운송,"20191211202632",BBP10
"9130",사무서비스,"20191211202632",BBP10
"9131",정보서비스,"20191211202632",BBP10
"9132",법률회계서비스(개인),"20191211202632",BBP10
"9133",부동산중개/임대,"20191211202632",BBP10
"9134",소프트웨어,"20191211202632",BBP10
"9135",법률회계서비스(법인),"20191211202632",BBP10
"9140",공공 요금,"20191211202632",BBP10
"9141",공공요금/대상,"20191211202632",BBP10
"9149",통신서비스/비대상,"20191211202632",BBP10
"9150",통신서비스,"20191211202632",BBP10
"9151",CATV,"20191211202632",BBP10
"9152",무선호출기,"20191211202632",BBP10
"9153",이동통신요금,"20191211202632",BBP10
"9154",위성방송,"20191211202632",BBP10
"9160",조세서비스,"20191211202632",BBP10
"9161",조세서비스(특약),"20191211202632",BBP10
"9170",자동차경매,"20191211202632",BBP10
"9180",자체물품대금,"20191211202632",BBP10
"9199",기타용역서비스,"20191211202632",BBP10
"9201",레져용품수리,"20191211202632",BBP10
"9202",가정용품수리,"20191211202632",BBP10
"9203",신변잡화수리,"20191211202632",BBP10
"9204",사무통신기기수리,"20191211202632",BBP10
"9210",세탁소,"20191211202632",BBP10
"9299",기타수리서비스,"20191211202632",BBP10
"9301",레져업소(회원제형태),"20191211202632",BBP10
"9302",자동차서비스(회원제형태),"20191211202632",BBP10
"9303",사무서비스(회원제형태),"20191211202632",BBP10
"9304",서적출판(회원제형태),"20191211202632",BBP10
"9305",학원(회원제형태),"20191211202632",BBP10
"9306",건강식품(회원제형태),"20191211202632",BBP10
"9395",기타회원제형태업소1,"20191211202632",BBP10
"9396",기타회원제형태업소2,"20191211202632",BBP10
"9397",기타회원제형태업소3,"20191211202632",BBP10
"9398",기타회원제형태업소4,"20191211202632",BBP10
"9399",기타회원제형태업소5,"20191211202632",BBP10
"9501",통신판매(생활서비스),"20191211202632",BBP10
"9510",통신판매(일반),"20191211202632",BBP10
"9601",농기계,"20191211202632",BBP10
"9602",비료/농약/사료/종자,"20191211202632",BBP10
"9699",기타농업관련,"20191211202632",BBP10
"9801",일반자판기,"20191211202632",BBP10
"9802",담배자판기,"20191211202632",BBP10
"9803",공공자판기,"20191211202632",BBP10
"9901",기계 공구,"20191211202632",BBP10
"9910",비 영 리,"20191211202632",BBP10
"9911",비영리/비대상,"20191211202632",BBP10
"9921",P2P송금,"20191211202632",BBP10
"9931",사업자미등록개인,"20191211202632",BBP10
"9992",외국인전용가맹점,"20191211202632",BBP10
"9993",외국인전용가맹점,"20191211202632",BBP10
"9995",비씨카드정산용,"20191211202632",BBP10
"9996",비씨카드정산용(할인),"20191211202632",BBP10
"9998",기타전문점,"20191211202632",BBP10
"9999",기타업종,"20191211202632",BBP10
