date,actual,LGBM,GBR,RFR
2015-05-28,0.505816871,0.486986794,0.401045958,0.72026396
2017-06-24,0.700611103,0.934592249,0.401045958,0.547203485
2017-06-08,-0.640911196,-0.136118611,0.122909898,0.193208491
2020-05-21,-0.71253251,-0.498897962,-0.508103829,-0.806940647
2017-06-02,-0.406764594,0.486986794,0.401045958,0.592640933
2017-07-09,0.486927733,0.200421258,0.177135982,0.325160258
2019-04-27,-1.278813117,-0.546934935,-0.553560197,-0.822553446
2020-09-27,-0.10335782,-0.176435236,-0.152178396,-0.175243145
2018-06-07,0.055232232,0.44061633,0.401045958,0.514842223
2016-05-30,1.007166067,-0.204599835,-0.152178396,-0.175243145
2019-06-28,0.770658322,-0.087662457,0.227856193,0.362878358
2017-04-17,-0.884895891,-0.565880256,-0.553560197,-0.912052124
2017-09-29,-0.019143748,0.074914055,0.401045958,0.389332234
2019-10-12,-0.581882641,-0.547019078,-0.508103829,-0.822553446
2020-05-15,-0.605100539,-0.515495384,-0.553560197,-0.822553446
2019-04-21,-1.119436018,-0.675803042,-0.61343177,-0.933881331
2017-09-22,0.011157578,-0.191038338,0.122909898,0.26427786
2020-09-02,0.064676801,0.081857379,0.177135982,0.325160258
2018-09-24,0.075301941,-0.257590314,-0.189474636,-0.225985185
2019-06-09,-0.37449565,-0.028072095,0.003946217,0.161502509
2018-07-23,0.285837121,-0.104286972,0.227856193,0.267729
2018-10-30,-1.309114442,-0.753303755,-0.61343177,-0.933881331
2020-08-02,-0.065973068,-0.081754708,0.177135982,0.325160258
2016-09-19,-1.318559011,0.215205272,0.313589397,0.452054127
2017-04-24,-1.001772431,-0.675803042,-0.61343177,-0.933881331
2015-10-09,-0.557090648,-0.241593333,-0.152178396,-0.193786203
2017-06-07,-0.810126388,-0.136118611,0.122909898,0.289482296
2019-07-04,0.86077525,0.710395868,0.401045958,0.419692865
2015-10-07,-0.379611458,-0.275757056,-0.152178396,-0.242753985
2016-07-01,1.860718976,0.235877089,0.177135982,0.325160258
2018-09-27,-0.300513194,-0.25898018,-0.189474636,-0.244528243
2017-07-14,0.22720209,0.149508845,0.177135982,0.325160258
2016-08-04,0.643550166,-0.230711634,0.003946217,0.140835132
2017-08-19,0.233498469,-0.00502358,0.177135982,0.325160258
2018-07-09,0.098126316,0.239389882,0.140399632,0.243242149
2017-06-11,-0.290281578,-0.062730537,0.122909898,0.26427786
2019-07-02,0.864316963,0.465790439,0.227856193,0.277116745
2020-09-12,-0.137200858,-0.152460475,0.120458415,0.241813487
2017-07-06,0.560123141,0.124491023,0.177135982,0.325160258
2015-05-10,-1.318559011,-0.609369742,-0.508103829,-0.806940647
2019-08-05,-0.382759648,-0.292510592,0.003946217,0.140835132
2016-10-28,-0.411486878,-0.528426831,-0.553560197,-0.856662127
2016-09-18,-1.318559011,0.193502516,0.313589397,0.427567276
2020-10-04,-0.043542217,-0.214850561,-0.152178396,-0.193786203
2016-05-19,0.214609331,-0.317895859,-0.152178396,-0.193786203
2018-07-30,0.245697704,0.25757619,0.140399632,0.243242149
2017-09-26,0.134330496,0.243598185,0.362418641,0.377955566
2017-07-23,0.931215992,0.200421258,0.177135982,0.325160258
2020-05-06,-0.963600632,-0.167097095,-0.152178396,-0.193786203
2020-06-06,0.24845237,-0.07811977,0.122909898,0.321385568
2020-08-01,-0.064398973,-0.029675684,0.177135982,0.325160258
2016-09-07,0.063102706,0.589579132,0.359172505,0.452054127
2017-08-02,0.644730737,0.161750566,0.140399632,0.243242149
2017-10-15,-0.308777192,-0.532258053,-0.508103829,-0.822553446
2015-05-25,2.829180806,0.310574867,-0.152178396,-0.193786203
2015-09-12,0.619151697,-0.012513836,0.401045958,0.410135278
2019-05-06,-0.882534749,-0.611038315,-0.463450759,-0.718122315
2018-10-28,-1.281174259,-0.753303755,-0.61343177,-0.933881331
2019-10-04,-0.333569185,0.563406817,0.313589397,0.427567276
2016-05-10,-0.459890293,-0.424334173,-0.34950112,-0.619605688
2018-08-15,-0.462644959,0.25757619,0.140399632,0.243242149
2016-06-17,0.812371834,0.67093236,0.313589397,0.427567276
2015-06-20,0.417667561,0.019252549,0.177135982,0.325160258
2020-06-09,-0.034491172,0.560262572,0.401045958,0.452054127
2019-08-26,-0.275327677,0.451875223,0.227856193,0.267729
2019-09-17,0.202410097,0.193502516,0.313589397,0.427567276
2019-10-10,-0.979735103,-0.470768846,-0.508103829,-0.806940647
2019-09-24,-0.4201444,-0.228731888,-0.152178396,-0.193786203
2018-08-17,-0.799894772,-0.05935434,0.140399632,0.267729
2019-08-30,-0.298939099,-0.166185017,0.003946217,0.140835132
2017-06-27,0.988276929,0.193502516,0.313589397,0.427567276
2015-07-23,0.40901004,0.617173536,0.313589397,0.427567276
2015-09-14,-1.318559011,-0.060013332,0.122909898,0.288764712
2015-04-24,-1.017906903,-0.675803042,-0.61343177,-0.919372991
2016-08-25,-0.046690407,0.084074896,0.313589397,0.395206014
2016-09-12,1.06816224,0.336803487,0.140399632,0.267729
2015-10-15,-0.689314612,-0.576547946,-0.61343177,-0.919372991
2017-07-01,1.114598037,0.547296546,0.313589397,0.427567276
2016-08-20,0.285837121,0.162546236,0.140399632,0.243242149
2015-10-21,-0.398500596,-0.13029521,-0.189474636,-0.244528243
2015-05-03,-0.138774953,-0.185075464,-0.152178396,-0.193786203
2016-08-29,-0.563780551,0.3440091,0.313589397,0.427567276
2020-08-31,-0.165534565,0.097893157,0.177135982,0.325160258
2020-09-05,0.138659257,-0.00502358,0.177135982,0.325160258
2020-09-16,0.234285516,0.486379872,0.313589397,0.41689687
2018-06-14,0.507390965,0.045482241,0.04898224,0.171534178
2020-09-08,-0.264702537,-0.029698813,0.177135982,0.325160258
2015-08-08,0.963484936,0.607673921,0.222172005,0.397778154
2015-10-10,-0.741653264,-0.392387607,-0.34950112,-0.594781013
2020-07-23,0.074514893,-0.126451571,0.177135982,0.325160258
2018-07-26,0.346046248,0.070917637,0.227856193,0.267729
2016-07-16,0.465283929,0.352013281,0.177135982,0.345775288
2019-07-14,0.854872394,0.192860327,0.140399632,0.243242149
2015-08-25,0.522344866,0.615623744,0.313589397,0.427567276
2016-10-12,-0.282804628,-0.513321886,-0.553560197,-0.822553446
2020-10-06,-0.725518792,-0.360760371,-0.34950112,-0.607590642
2015-06-15,0.523131913,0.204563446,0.313589397,0.427567276
2018-10-09,-1.022629187,-0.482448356,-0.508103829,-0.806940647
2019-05-22,-0.542136747,-0.25898018,-0.152178396,-0.175243145
2015-04-16,-1.09306993,-0.760475905,-0.61343177,-0.864163493
2017-07-20,0.842673159,0.176101293,0.177135982,0.292798996
2018-05-28,-0.077385255,-0.16339512,-0.189474636,-0.244528243
2018-07-13,-0.228104833,-0.005412785,0.04898224,0.213453027
2016-09-23,2.591098966,0.158226627,0.313589397,0.505284636
2015-05-07,-0.209215695,-0.002198425,-0.34950112,-0.544630893
2015-06-09,0.04539414,0.588275958,0.401045958,0.603311339
2017-06-21,0.243336562,0.950659932,0.401045958,0.547203485
2018-05-25,-0.281230533,-0.488932596,-0.189474636,-0.244528243
2016-06-18,0.839131446,0.524821881,0.313589397,0.427567276
2017-07-25,0.196113717,0.290984679,0.177135982,0.325160258
2019-06-18,-0.191507129,0.034251667,0.313589397,0.384535608
2019-05-04,-0.871122562,-0.594347184,-0.508103829,-0.822553446
